,yuv,framenos,fps,w,h
0,/media/labuser-admin/seagate/hdr_videos/yuv/1694KHDR1.yuv,250,29.97002997002997,3840,2160
1,/media/labuser-admin/seagate/hdr_videos/yuv/1694KHDR2.yuv,307,29.97002997002997,3840,2160
2,/media/labuser-admin/seagate/hdr_videos/yuv/acropolis_106.yuv,222,29.97002997002997,3840,2160
3,/media/labuser-admin/seagate/hdr_videos/yuv/acropolis_155.yuv,300,29.97002997002997,3840,2160
4,/media/labuser-admin/seagate/hdr_videos/yuv/calipromax_59.yuv,492,60.0,3840,2160
5,/media/labuser-admin/seagate/hdr_videos/yuv/calisurface_20.yuv,260,29.97002997002997,3840,2160
6,/media/labuser-admin/seagate/hdr_videos/yuv/calisurface_40.yuv,219,29.97002997002997,3840,2160
7,/media/labuser-admin/seagate/hdr_videos/yuv/christmastram_0.yuv,300,29.97002997002997,3840,2160
8,/media/labuser-admin/seagate/hdr_videos/yuv/christmastram_50.yuv,199,29.97002997002997,3840,2160
9,/media/labuser-admin/seagate/hdr_videos/yuv/Corinth_1.yuv,300,29.97002997002997,3840,2160
10,/media/labuser-admin/seagate/hdr_videos/yuv/delphi_15.yuv,300,29.97002997002997,3840,2160
11,/media/labuser-admin/seagate/hdr_videos/yuv/delphi_42.yuv,309,29.97002997002997,3840,2160
12,/media/labuser-admin/seagate/hdr_videos/yuv/dolby_iphonepromax.yuv,592,60.0,3840,2160
13,/media/labuser-admin/seagate/hdr_videos/yuv/epidaurus_14.yuv,270,29.97002997002997,3840,2160
14,/media/labuser-admin/seagate/hdr_videos/yuv/epidaurus_33.yuv,278,29.97002997002997,3840,2160
15,/media/labuser-admin/seagate/hdr_videos/yuv/epidaurus_67.yuv,228,29.97002997002997,3840,2160
16,/media/labuser-admin/seagate/hdr_videos/yuv/Flammegrillet.yuv,240,24.0,3840,2160
17,/media/labuser-admin/seagate/hdr_videos/yuv/Frog.yuv,203,25.0,1920,1080
18,/media/labuser-admin/seagate/hdr_videos/yuv/gijoe_41.yuv,246,23.976023976023978,3840,2160
19,/media/labuser-admin/seagate/hdr_videos/yuv/glassblowing_21.yuv,542,59.94005994005994,3840,2160
20,/media/labuser-admin/seagate/hdr_videos/yuv/glassblowing_61.yuv,539,59.94005994005994,3840,2160
21,/media/labuser-admin/seagate/hdr_videos/yuv/glassblowing_81.yuv,538,59.94005994005994,3840,2160
22,/media/labuser-admin/seagate/hdr_videos/yuv/istanbul_133.yuv,326,29.97002997002997,3840,2160
23,/media/labuser-admin/seagate/hdr_videos/yuv/knossos_169.yuv,275,29.97002997002997,3840,2160
24,/media/labuser-admin/seagate/hdr_videos/yuv/knossos_183.yuv,305,29.97002997002997,3840,2160
25,/media/labuser-admin/seagate/hdr_videos/yuv/lgchess_15.yuv,647,59.94005994005994,3840,2160
26,/media/labuser-admin/seagate/hdr_videos/yuv/lgchess_4.yuv,600,59.94005994005994,3840,2160
27,/media/labuser-admin/seagate/hdr_videos/yuv/LG_chess.yuv,433,59.94005994005994,3840,2160
28,/media/labuser-admin/seagate/hdr_videos/yuv/LG_raysoflight1.yuv,458,59.94005994005994,3840,2160
29,/media/labuser-admin/seagate/hdr_videos/yuv/LG_raysoflight4.yuv,563,59.94005994005994,3840,2160
30,/media/labuser-admin/seagate/hdr_videos/yuv/monemvasia1.yuv,288,29.97002997002997,3840,2160
31,/media/labuser-admin/seagate/hdr_videos/yuv/monsklint_50.yuv,245,25.0,3840,2160
32,/media/labuser-admin/seagate/hdr_videos/yuv/monsklint_70.yuv,233,25.0,3840,2160
33,/media/labuser-admin/seagate/hdr_videos/yuv/moulvibazar.yuv,250,30.0,1920,1080
34,/media/labuser-admin/seagate/hdr_videos/yuv/noordzee1.yuv,250,25.0,3840,2160
35,/media/labuser-admin/seagate/hdr_videos/yuv/noordzee2.yuv,264,25.0,3840,2160
36,/media/labuser-admin/seagate/hdr_videos/yuv/olympia_25.yuv,279,29.97002997002997,3840,2160
37,/media/labuser-admin/seagate/hdr_videos/yuv/Poseidon.yuv,289,29.97002997002997,3840,2160
38,/media/labuser-admin/seagate/hdr_videos/yuv/Santorini.yuv,219,29.97002997002997,3840,2160
39,/media/labuser-admin/seagate/hdr_videos/yuv/seara1.yuv,232,23.976023976023978,3840,2160
40,/media/labuser-admin/seagate/hdr_videos/yuv/Sony_Japan.yuv,243,24.0,3840,2160
41,/media/labuser-admin/seagate/hdr_videos/yuv/sony_test.yuv,240,24.0,3840,2160
42,/media/labuser-admin/seagate/hdr_videos/yuv/t2t3_10.yuv,310,29.97002997002997,3840,2160
43,/media/labuser-admin/seagate/hdr_videos/yuv/t2t3_50.yuv,229,29.97002997002997,3840,2160
44,/media/labuser-admin/seagate/hdr_videos/yuv/t2t3.yuv,300,29.97002997002997,3840,2160
45,/media/labuser-admin/seagate/hdr_videos/yuv/TearsOfSteel1.yuv,243,24.0,3840,2160
46,/media/labuser-admin/seagate/hdr_videos/yuv/TearsOfSteel2.yuv,263,24.0,3840,2160
47,/media/labuser-admin/seagate/hdr_videos/yuv/timelapse1.yuv,208,24.0,3840,2026
48,/media/labuser-admin/seagate/hdr_videos/yuv/VEGAS1.yuv,600,59.94005994005994,3840,2160
49,/media/labuser-admin/seagate/hdr_videos/yuv/VEGAS2.yuv,510,59.94005994005994,3840,2160
50,/media/labuser-admin/seagate/hdr_videos/yuv/vliet1.yuv,250,25.0,3840,2160
51,/media/labuser-admin/seagate/hdr_videos/yuv/vliet2.yuv,256,25.0,3840,2160
52,/media/labuser-admin/seagate/hdr_videos/yuv/Waterfall.yuv,600,60.0,3840,2160
